GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Library,com.github.mmichaelis.describeme.library,IterableDescriber,0,19,0,0,0,6,0,3,0,3
Library,com.github.mmichaelis.describeme.library,MapDescriber,0,16,0,0,0,5,0,3,0,3
Library,com.github.mmichaelis.describeme.library,CharacterDescriber,0,23,0,0,0,4,0,3,0,3
Library,com.github.mmichaelis.describeme.library,StreamDescriber,0,12,0,0,0,4,0,3,0,3
Library,com.github.mmichaelis.describeme.library,ArrayDescriber,0,23,0,4,0,5,0,5,0,3
Library,com.github.mmichaelis.describeme.library,ThrowableDescriber,7,107,3,15,0,20,3,10,0,4
Library,com.github.mmichaelis.describeme.library,FormattableDescriber,7,32,3,3,0,7,3,4,0,4
Library,com.github.mmichaelis.describeme.library,StringDescriber,7,73,4,6,0,9,4,5,0,4
Library,com.github.mmichaelis.describeme.library,EntryDescriber,7,44,3,3,0,9,3,4,0,4
Library,com.github.mmichaelis.describeme.library,IteratorDescriber,0,20,0,0,0,7,0,3,0,3
Library,com.github.mmichaelis.describeme.library,NumberDescriber,0,21,0,0,0,5,0,4,0,4
